Time,M1,M2
244,0.562201799,0.817179062
245,0.926109167,0.486137486
246,0.251033388,0.838310097
247,0.710250503,0.457576468
248,0.775520081,0.842701341
249,0.648466367,0.411662724
250,0.860900415,0.826331886
251,0.440825594,0.445365095
252,0.932767314,0.848846328
253,0.222471795,0.385729748
254,0.655600483,0.822432964
255,0.847212511,0.467994446
256,0.483955378,0.839695496
257,0.940894263,0.438614383
258,0.203072749,0.828796141
259,0.611603871,0.48316137
260,0.896759321,0.850367343
261,0.336560259,0.384343551
262,0.845905218,0.817834169
263,0.4814922,0.466090228
264,0.944209977,0.853021941
265,0.18406585,0.374379736
266,0.569327118,0.81425558
267,0.922464697,0.492265784
268,0.262707648,0.838462812
269,0.731625478,0.456428589
270,0.739449928,0.84164058
271,0.719675161,0.416697914
272,0.760624988,0.826721698
273,0.679307036,0.451079248
274,0.821697723,0.842109956
275,0.542900988,0.410005937
276,0.938554267,0.82884633
277,0.203588242,0.434276938
278,0.614363991,0.852808583
279,0.889820637,0.397426573
280,0.365478743,0.809884353
281,0.875315409,0.515221266
282,0.405706083,0.838110607
283,0.909412366,0.447682136
284,0.304907201,0.83284973
285,0.800288602,0.466923349
286,0.599868203,0.841276898
287,0.902006994,0.426982854
288,0.3281806,0.825528416
289,0.832398309,0.482435584
290,0.522111614,0.841793934
291,0.939351883,0.430958341
292,0.208389276,0.82593065
293,0.623417804,0.489423032
294,0.886016273,0.850199245
295,0.368701654,0.385498483
296,0.881648149,0.817742195
297,0.382090604,0.463962771
298,0.893624506,0.856272548
299,0.34592332,0.369529659
300,0.857232853,0.805194902
301,0.451257028,0.49377709
302,0.936515259,0.857038833
303,0.209874232,0.364621055
304,0.628612255,0.804731929
305,0.877026487,0.509515432
306,0.400896737,0.838934416
307,0.905951943,0.446026031
308,0.315689914,0.832477585
309,0.815657114,0.467080911
310,0.563750671,0.840728938
311,0.925077008,0.430746347
312,0.255406772,0.826335877
313,0.718440746,0.485382991
314,0.761703456,0.846354687
315,0.676849518,0.403560804
316,0.825689143,0.82059619
317,0.533369864,0.4610587
318,0.940850222,0.850019328
319,0.195479294,0.382223376
320,0.596120794,0.820472993
321,0.905108993,0.476411631
322,0.317745386,0.838556205
323,0.818447424,0.452513147
324,0.55723954,0.837478838
325,0.928216287,0.439044012
326,0.245046528,0.829393062
327,0.698930365,0.478991546
328,0.792925863,0.846672718
329,0.610511894,0.400655197
330,0.898698965,0.820888754
331,0.331194075,0.455587875
332,0.838699567,0.856025431
333,0.499714929,0.373924772
334,0.946262575,0.804419166
335,0.178005077,0.489756061
336,0.554269644,0.867658391
337,0.929189928,0.36342224
338,0.243271057,0.782697742
339,0.695734796,0.580054337
340,0.796342701,0.820284442
341,0.603223263,0.463704365
342,0.903916495,0.848011813
343,0.314704929,0.389784673
