FP,cat,subcat,offset,ESU_rec4n,Middle Fork Salmon_rec4n,Imnaha_rec4n,Upper Salmon_rec4n,ESU_rec5n,Middle Fork Salmon_rec5n,Imnaha_rec5n,Upper Salmon_rec5n
upw.tumi.4,upw,tumi,4,0.25364995,0.27946813,0.04165709,NA,0.36504106,0.35977204,NA,0.1795620747
upw.tumi.5,upw,tumi,5,0.27006708,0.27959427,NA,NA,0.35427914,0.35669051,NA,NA
upw.win.2,upw,win,2,0.26914794,NA,NA,NA,0.26298274,0.26970652,0.07131341,NA
upw.win.3,upw,win,3,0.28433456,0.27502532,NA,NA,0.308927,0.32693328,0.06574412,NA
upw.win.4,upw,win,4,0.27652458,0.28416392,NA,NA,0.32128181,0.25482417,0.15084906,NA
upw.win.5,upw,win,5,0.29491155,0.27443662,NA,NA,0.29729947,0.25077022,0.14772111,NA
upw.yr.2,upw,yr,2,0.31844743,0.29181289,NA,NA,0.27717417,0.23882015,0.14528862,NA
upw.yr.3,upw,yr,3,0.33701555,0.37441277,NA,NA,0.34377218,0.37048774,0.14884709,0.1301666116
upw.yr.4,upw,yr,4,0.31357232,0.33473495,NA,NA,0.31507622,0.27052359,0.16093351,0.2022563615
upw.yr.5,upw,yr,5,0.35777823,0.34255333,NA,NA,0.34649555,0.30067349,NA,0.2884247152
