year,pdo-jan,pdo-feb,pdo-mar,pdo-apr,pdo-may,pdo-jun,pdo-jul,pdo-aug,pdo-sep,pdo-oct,pdo-nov,pdo-dec,pdo-yr,pdo-win,pdo-spr,pdo-sum,pdo-fal,npgo-jan,npgo-feb,npgo-mar,npgo-apr,npgo-may,npgo-jun,npgo-jul,npgo-aug,npgo-sep,npgo-oct,npgo-nov,npgo-dec,npgo-yravg,npgo-yrsum,npgo-win,npgo-spr,npgo-sum,npgo-fal,upw-jan,upw-feb,upw-mar,upw-apr,upw-may,upw-jun,upw-jul,upw-aug,upw-sep,upw-oct,upw-nov,upw-dec,upw-yr,upw-win,upw-spr,upw-sum,upw-fal,up48-STI,up48-FTI,up48-LUSI,up48-TUMI,up48-TDMI,arc-win,arc-spr,arc-sum,arc-fal
1977,1.16,1.4,0.57,-0.23,-0.41,-0.02,-0.09,-0.07,-0.66,-0.88,-0.45,-0.13,0.015833333,1.253333333,-0.023333333,-0.06,-0.663333333,1.3217052,1.9341241,1.699481,1.396454,1.0719304,0.92382978,1.0368123,1.2847436,0.76644075,1.2530538,1.4486669,0.85400226,1.249270341,14.984,1.528476967,1.389288467,1.081795227,1.156053817,-45,-99,11,-2,9,39,42,24,2,-30,-65,-63,-14.75,-65.66666667,6,35,-31,71,258,188,3446.2,-17482,0.235410754,-0.239288952,0.0072301,-0.045558499
1978,0.55,0.75,1.07,0.95,0.69,0.24,-1.64,-0.97,-0.81,-0.02,-0.07,-0.57,0.014166667,0.39,0.903333333,-0.79,-0.3,1.2148573,1.2447465,0.61619694,0.45326294,0.5867699,0.38409043,0.42586012,0.86398498,1.2864755,0.35159373,-0.25888401,-1.1153547,0.504466636,6.043,1.104535353,0.552076593,0.55797851,0.459728407,-129,-111,-4,-3,17,28,58,3,-16,0,-16,-10,-15.25,-101,3.333333333,29.66666667,-10.66666667,96,234,139,3059,-11139,0.04315625,0.193244931,-0.164092307,-0.116349909
1979,-0.42,-1.26,-0.65,-0.19,0.52,0.14,0.18,0.08,0.84,1.06,0.5,0.04,0.07,-0.75,-0.106666667,0.133333333,0.8,-0.51478626,-0.23329146,-0.62883688,-1.034361,-0.78180605,-0.82272109,-1.1482481,-1.2509887,-0.78481409,-0.6129027,-0.49207198,-0.54143459,-0.737188575,-8.843,-0.62114414,-0.81500131,-1.073985963,-0.62992959,-73,-82,-2,10,24,83,25,35,-2,-16,-187,-140,-27.08333333,-55,10.66666667,47.66666667,-68.33333333,103,243,141,4127.2,-28241,-0.217950721,-0.043264478,0.21029023,0.578819752
1980,0.06,0.6,0.6,0.72,0.57,-0.78,-0.32,-0.12,-0.29,0.92,0.7,0.36,0.251666667,0.233333333,0.63,-0.406666667,0.443333333,-1.9028722,-1.7223209,-1.1510684,-0.065782108,-0.21080144,-0.68274075,-0.9904321,-1.0831368,-0.69690748,-0.066023382,-0.13450486,-0.28269689,-0.749107276,-8.9808,-1.388875897,-0.475883983,-0.918769883,-0.299145241,-68,-218,3,-15,41,32,63,68,5,-39,-145,-113,-32.16666667,-142,9.666666667,54.33333333,-59.66666667,110,268,159,5139.9,-23995,0.367015377,0.151066227,-0.256154879,-0.306184844
1981,1.18,1.25,1.16,1.01,1.22,1.77,0.71,-0.11,0.34,-0.15,0.45,0.6,0.785833333,0.93,1.13,0.79,0.213333333,-0.26440728,-1.0577437,-0.69053925,-0.62670428,0.19965579,0.008819323,-0.52605658,-0.69772961,0.0029769,-0.28779399,0.75622012,0.52121581,-0.221840562,-2.6652,-0.53494929,-0.372529247,-0.404988956,0.157134343,-251,-76,-16,-1,8,5,80,24,-6,-10,-123,-102,-39,-146.6666667,-3,36.33333333,-46.33333333,174,231,58,1921.8,-18824,0.228936256,0.381457142,0.282842244,0.097457126
1982,0.15,-0.1,-0.32,-0.67,-1.17,-0.98,0.09,-0.11,0.53,0.1,-0.61,0.12,-0.2475,0.216666667,-0.72,-0.333333333,0.006666667,-0.19996038,-0.87346295,-0.62067405,-1.0710987,-0.99310639,-0.8476034,-0.61058107,-0.45697363,-0.45956735,-1.0067379,-0.86607015,-0.2344606,-0.686691381,-8.243,-0.184069173,-0.894959713,-0.638386033,-0.777458467,-24,-73,-1,0,59,74,36,38,7,-44,-56,-96,-6.666666667,-66.33333333,19.33333333,49.33333333,-31,107,276,170,3132.3,-22105,0.048500715,-0.200775875,-0.47813039,-0.278479457
1983,0.39,0.92,1.65,1.2,0.95,1.82,2.41,1.11,0.34,0.6,1.15,1.7,1.186666667,0.476666667,1.266666667,1.78,0.696666667,0.60465531,0.47395959,0.43032064,-0.72051521,-0.74396599,-0.076887309,-0.04863779,-0.010007802,-0.40973575,-0.48714715,0.56100833,-0.6778232,-0.092064694,-1.1055,0.281384767,-0.344720187,-0.045177634,-0.11195819,-165,-197,-63,5,45,24,18,26,12,-3,-127,-126,-45.91666667,-152.6666667,-4.333333333,22.66666667,-39.33333333,93,288,196,2151.8,-21352,0.014577138,0.324881225,0.109153091,0.127248559
1984,1.43,1.25,1.55,0.97,0.89,-0.12,-0.39,0.02,0.14,0.4,0.5,0.49,0.594166667,1.46,1.136666667,-0.163333333,0.346666667,-0.21510063,0.40077926,0.71907062,1.1599523,0.98165596,0.73748025,0.4158185,0.36820697,0.82303277,0.94333701,0.86247744,0.25228999,0.620750037,7.448,-0.16404819,0.953559627,0.507168573,0.876282407,-42,-143,-29,-14,-1,33,72,27,0,-21,-121,-28,-22.25,-103.6666667,-14.66666667,44,-47.33333333,146,268,123,2425.3,-13986,0.432952148,0.309368761,0.151044351,0.042286628
1985,0.9,0.52,-0.29,-0.51,-0.87,0.04,0.43,0.08,0.02,0.1,-0.7,0.28,0,0.636666667,-0.556666667,0.183333333,-0.193333333,0.32392518,-0.064661941,0.23143699,0.31925946,0.15633692,-0.044718164,0.17832952,-0.23258976,-0.93626777,-1.1832549,-1.793918,-1.6806901,-0.393901047,-4.7204,0.170517743,0.23567779,-0.032992801,-1.304480223,-107,-20,-9,7,20,49,79,39,12,-21,-19,-155,-10.41666667,-51.66666667,6,55.66666667,-9.333333333,123,280,158,4414.6,-20022,0.028948135,-0.345293804,-0.218204901,-0.158792609
1986,1.03,1.48,1.6,1.09,0.73,0.59,1.04,-0.17,-0.05,0.9,1.62,1.66,0.96,0.93,1.14,0.486666667,0.823333333,-0.7685944,-1.4491836,-0.46623733,-0.96677631,-0.49841159,-0.66585381,-0.94142243,-1.0182601,-0.768198,-0.2937993,-0.50124606,-0.45618453,-0.732847288,-8.796,-1.299489367,-0.64380841,-0.87517878,-0.52108112,-327,-69,-52,6,2,26,57,84,9,-17,-25,-194,-41.66666667,-183.6666667,-14.66666667,55.66666667,-11,148,283,136,4109.6,-21205,0.246118317,0.386612216,0.053768348,0.470028803
1987,1.44,1.44,1.34,1.39,0.84,0.05,1.35,1.68,1.42,0.68,0.88,0.91,1.118333333,1.513333333,1.19,1.026666667,0.993333333,0.68659838,0.7675583,0.28541378,0.47076848,0.27433927,0.39440557,0.42619958,0.3395003,0.17022806,0.12124511,0.52151727,0.69232265,0.429174729,5.15,0.332657383,0.343507177,0.386701817,0.270996813,-203,-66,-36,-6,22,37,39,68,9,-1,-102,-115,-29.5,-154.3333333,-6.666666667,48,-31.33333333,124,256,133,3519.4,-24157,0.458550843,0.283634292,-0.276376541,0.149015308
