,pod,all,expected.deaths,death.index,death.diff,expected.births,birth.index,birth.diff,death.diff.lag1,death.diff.lag2,birth.diff.lag1,birth.diff.lag2
37,J001,24,1.365,0,-1.365,1.019,2.944062807,1.981,0.402,-1.087,0.028,-0.088
38,J001,27,1.598,1.251564456,0.402,0.972,1.028806584,0.028,-1.087,0.894,-0.088,-0.088
39,J001,26,1.087,0,-1.087,1.088,0.919117647,-0.088,0.894,0.757,-0.088,-0.088
40,J001,27,1.106,1.808318264,0.894,1.088,0.919117647,-0.088,0.757,0.029,-0.088,-0.204
41,J001,26,1.243,1.609010459,0.757,1.088,0.919117647,-0.088,0.029,-2.027,-0.204,3.796
42,J001,25,0.971,1.029866117,0.029,1.204,0.830564784,-0.204,-2.027,3.936,3.796,-0.157
43,J001,25,2.027,0,-2.027,1.204,4.15282392,3.796,3.936,1.252,-0.157,-1.088
44,J001,30,2.064,2.906976744,3.936,1.157,0.864304235,-0.157,1.252,1.128,-1.088,-0.088
45,J001,25,0.748,2.673796791,1.252,1.088,0,-1.088,1.128,0.127,-0.088,-0.204
46,J001,23,0.872,2.293577982,1.128,1.088,0.919117647,-0.088,0.127,NA,-0.204,NA
47,J001,22,0.873,1.145475372,0.127,1.204,0.830564784,-0.204,NA,NA,NA,NA
48,K001,16,0.645,0,-0.645,0.624,0,-0.624,0.336,0.223,0.376,-0.624
