year,pdo-yr,pdo-win,pdo-spr,pdo-sum,pdo-fal,npgo-yravg,npgo-yrsum,npgo-win,npgo-spr,npgo-sum,npgo-fal,upw-yr,upw-win,upw-spr,upw-sum,upw-fal,upw-sti,upw-fti,upw-lusi,upw-tumi,upw-tdmi,arc-win,arc-spr,arc-sum,arc-fal
2007,-0.778333333,-0.726666667,-0.713333333,-0.12,-1.553333333,0.59326066,7.12,-0.03055907,0.134285767,1.300547067,0.968768877,-7.083333333,-34,2,12.33333333,-8.666666667,117,271,155,2696.1,-11118,-0.356325073,-0.49370775,0.064572051,-0.359404957
2008,-1.7475,-1.37,-1.73,-2.093333333,-1.796666667,1.454986408,17.475,0.713259133,1.502641433,1.616592167,1.9874529,-1.916666667,-18,3.333333333,22.33333333,-15.33333333,88,267,180,2961.1,-7264.4,-0.623958032,-0.781107377,-0.487957437,-0.556527412
2009,-1.085,-1.326666667,-1.92,-0.743333333,-0.35,0.736277515,8.824,0.89783171,0.433582187,0.549215387,1.064480777,-11.5,-35.33333333,6.666666667,23,-40.33333333,83,244,162,2531,-21989,-0.585674311,-0.669568086,0.142139099,-0.199538592
2010,-1.148333333,-0.593333333,-0.276666667,-1.846666667,-1.876666667,1.370142293,16.448,1.561135673,1.566304767,1.153911967,1.199216763,-45.91666667,-176,-10,31,-28.66666667,97,248,152,1856.4,-19190,0.016973504,-0.178637138,-0.55773872,-0.376077122
2011,-1.914166667,-1.833333333,-1.17,-2.14,-2.513333333,0.857256779,10.282,0.33414066,1.06441578,1.061535733,0.968934943,-13.75,-12.33333333,-39,17,-20.66666667,133,258,126,959.53,-18140,-0.230900381,-0.245764277,-0.53660365,-0.520385227
2012,-1.655,-1.41,-1.51,-2.083333333,-1.616666667,1.476880791,17.735,0.96537223,1.556779,1.843145867,1.542226067,-22.75,-60,-20.33333333,17.33333333,-28,121,285,165,1488.9,-9930.6,-0.497541042,-0.579058133,-0.813698416,-0.574507913
2013,-1.214166667,-1.133333333,-0.733333333,-1.6,-1.39,0.343828793,4.125,0.327023233,0.656481737,0.57937884,-0.187568637,5.916666667,-7.333333333,4.333333333,30.33333333,-3.666666667,100,234,135,1683.2,-8677.4,-0.415322958,-0.210634505,0.408843698,0.18221097
2014,0.488333333,0.316666667,0.603333333,-0.056666667,1.09,-0.249174042,-2.989,-0.337350293,-0.281196853,-0.365014323,-0.013134697,-20.16666667,-59,-15.33333333,31,-37.33333333,139,258,120,1861.8,-13469,0.393420675,0.808525154,1.246966174,1.341410888
2015,0.9425,1.333333333,0.93,0.913333333,0.593333333,-1.394540915,-16.73,-0.97611031,-1.164144383,-1.5501161,-1.887792867,-9.25,-73,8.666666667,36,-8.666666667,120,239,120,2481.3,-22688,1.365662359,1.320815543,1.58903502,1.327797429
2016,0.554166667,0.88,1.57,0.04,-0.273333333,-0.18571019,-2.228,-0.124086487,-0.202784843,-0.662614577,0.246645147,-51.08333333,-116.3333333,-18.33333333,28.33333333,-98,114,240,127,2238.8,-21226,0.843699657,1.117906584,1.201838532,0.882903184
2017,-0.100833333,0.03,0.32,-0.313333333,-0.44,-0.86259431,-10.359,-1.207377107,-0.488189323,-0.42353941,-1.3312714,-27.58333333,-62,-29.66666667,27.33333333,-46,170,259,90,1379.3,-14562,0.388705682,0.498261014,0.679019469,0.511656865
2018,-0.453333333,0.036666667,-0.726666667,-0.46,-0.663333333,-1.906312075,-23.72,-1.600279567,-2.007762233,-1.87702,-2.1401865,-22.41666667,-102,2.333333333,29,-19,105,249,145,1580.8,-15483,0.636574421,0.620621837,0.684612674,1.04834101
